id,price_doc
30474,5108184.124104726
30475,8115823.203567555
30476,5249067.136125268
30477,5708981.942430524
30478,4984303.8253913745
30479,8762116.96842359
30480,4565323.5069747735
30481,4270966.233376974
30482,4119736.628693694
30483,4758060.095973752
30484,6299970.295738778
30485,4951708.405028751
30486,4202993.137531459
30487,4462748.625979215
30488,5959956.825823078
30489,6112420.917055646
30490,20484201.216522835
30491,18805405.17592814
30492,6169180.192579895
30493,15290183.347972387
30494,6907097.864625136
30495,10709737.149569001
30496,10492580.363709843
30497,9649314.808393795
30498,4533551.066253247
30499,7774190.719988461
30500,10937082.961172331
30501,6647382.132026724
30502,3395073.6466869735
30503,6533693.631507863
30504,6306546.372744833
30505,11142323.253349235
30506,4562558.985746311
30507,4926607.6174326325
30508,5480254.818069182
30509,7871284.885591775
30510,9380923.88996273
30511,6484762.248120864
30512,6645113.117696739
30513,4566578.596451798
30514,4988601.337966815
30515,9363434.575985948
30516,5496955.914887078
30517,10898827.47819362
30518,6693004.725443507
30519,4876573.227491146
30520,6270019.091656042
30521,5695873.667173255
30522,7372909.161743591
30523,6486255.981505607
30524,8777050.811123392
30525,11490718.893183101
30526,4917479.514830988
30527,5445869.445391585
30528,6305230.626682789
30529,6229216.127052206
30530,6330013.813177515
30531,11486886.883122977
30532,4861364.275832286
30533,10014912.403900316
30534,6910594.427260088
30535,9391246.116228396
30536,5785274.60835137
30537,11361964.285392031
30538,4791723.730763947
30539,10717821.939390449
30540,9444688.434031846
30541,7761417.013222374
30542,3241109.316509242
30543,5982466.387603385
30544,7003678.855647248
30545,8822959.232125077
30546,4090511.4789000214
30547,9098282.770107796
30548,4698057.856432391
30549,5131161.840342787
30550,10433467.06632795
30551,4967678.192477809
30552,3229182.784505022
30553,7097146.28362369
30554,11820001.476004984
30555,6615670.688375927
30556,8722451.248586047
30557,9250080.65769725
30558,8546493.33866501
30559,6572923.493426691
30560,5920802.218837673
30561,6839683.5910689635
30562,11574423.393569808
30563,4362139.356497018
30564,6512999.816835627
30565,7405260.32572685
30566,7382054.107594924
30567,3241109.316509242
30568,9270206.06643445
30569,8384008.121810516
30570,6306587.553267248
30571,6775534.195518194
30572,4945465.184513031
30573,6307278.7443116885
30574,6452372.932319549
30575,7728980.74885425
30576,4463144.6561879665
30577,5399953.67293969
30578,4568516.644037516
30579,6804056.455070493
30580,5827106.661770603
30581,4938117.639950228
30582,11297549.00354548
30583,6910594.427260088
30584,4146493.234918861
30585,3534304.5215879804
30586,8821173.688427072
30587,6050168.825561255
30588,6656772.026776671
30589,7372981.8533592075
30590,12184383.83423833
30591,5504830.535077302
30592,6394050.450577458
30593,10471765.373633152
30594,8808454.657976633
30595,5364725.122104906
30596,7535631.127866338
30597,6307278.7443116885
30598,9611774.403234003
30599,11694140.659189383
30600,5586436.7440572055
30601,6276371.709040255
30602,3214012.1052978826
30603,12358508.408562556
30604,4654977.980410742
30605,6481309.759526073
30606,16344850.562662441
30607,7165196.171749508
30608,8212612.71534007
30609,6148381.181169669
30610,3309842.215831588
30611,5480254.818069182
30612,6994186.002258962
30613,7806983.891379322
30614,19182513.621358473
30615,7231961.20987129
30616,5502121.491445714
30617,8074818.377362346
30618,4744417.36067119
30619,4302610.041535885
30620,3865668.651457037
30621,8353524.608201191
30622,8572544.250419404
30623,6487435.212205698
30624,6770431.104516161
30625,7019396.851038629
30626,6835370.050708604
30627,7785880.16919706
30628,6307278.7443116885
30629,4951607.508048409
30630,4414484.915745807
30631,6058324.181324675
30632,4038600.9239599593
30633,5519912.803721663
30634,11616199.313156238
30635,9444688.434031846
30636,5421993.341538863
30637,9444688.434031846
30638,6041620.2646114305
30639,7301881.921812123
30640,4759798.76327738
30641,8432606.638513438
30642,6034384.637077023
30643,7755820.70467964
30644,9611774.403234003
30645,7178181.770340202
30646,5248812.519665864
30647,4668352.459178546
30648,23629112.858022075
30649,3838571.4402456777
30650,4911985.385836783
30651,4568516.644037516
30652,4529021.722385413
30653,7341120.706006324
30654,4217018.206157365
30655,11118598.623881374
30656,4113911.7081712037
30657,6446010.485610285
30658,8780671.712971304
30659,5062396.7583994595
