id,price_doc
30474,5151998.040236764
30475,8144069.614684926
30476,5232383.795832405
30477,5858955.460609616
30478,5061715.289274452
30479,8736259.130691808
30480,4407860.143518319
30481,4206777.286868038
30482,4182987.7279868247
30483,4858961.98548804
30484,6347301.666270455
30485,5053413.011353742
30486,4258383.805546289
30487,4565789.31357071
30488,5800303.028275757
30489,5846337.9412430795
30490,21358797.45081923
30491,16219195.555590648
30492,6134961.362650818
30493,13816881.07204612
30494,6999135.400985906
30495,10375981.17961961
30496,9503439.01868777
30497,9111718.259181958
30498,4628307.302200751
30499,7398754.5447960645
30500,11357673.326398732
30501,6800269.059622444
30502,3302545.9819625197
30503,6161037.996542593
30504,6146910.850441998
30505,11061140.550885301
30506,4068808.99605287
30507,5023460.2367243385
30508,5436288.27734291
30509,7733367.972569634
30510,9345298.898615792
30511,6545405.342725379
30512,6226681.7248461
30513,4407860.143518319
30514,4632679.717313679
30515,9293637.107238362
30516,5444913.653602623
30517,11146274.772314304
30518,6366271.464175584
30519,4866355.879091323
30520,6448327.214072374
30521,5565212.233849863
30522,7659345.400181981
30523,6429564.215465211
30524,9594830.675843414
30525,11143604.175534023
30526,5001990.586023484
30527,5244405.068484567
30528,6056504.629355213
30529,6255887.843882491
30530,6455402.303505799
30531,11075401.571855187
30532,4753585.025051462
30533,9979310.78310439
30534,6929791.835506198
30535,9315536.282543596
30536,5541284.586690368
30537,11077644.876820784
30538,4674958.233467687
30539,11874609.784844376
30540,9345298.898615792
30541,7378864.876946889
30542,2868518.8165333704
30543,5541885.449102705
30544,6910409.159613279
30545,8125685.839898053
30546,4036925.2714861287
30547,9335206.643213477
30548,4528030.934357996
30549,5274584.747240249
30550,10197877.21599871
30551,4822261.65027545
30552,2851097.5427923393
30553,7163966.394014405
30554,11021510.966072831
30555,6423639.21047957
30556,8631834.46774577
30557,8029630.699501078
30558,8230369.148297836
30559,6539724.974274025
30560,5646923.296793012
30561,6717887.136862278
30562,12047480.633027326
30563,4450509.679939909
30564,6219703.963476501
30565,7254547.269087672
30566,7051112.867522714
30567,2868518.8165333704
30568,9366642.079413783
30569,7901488.71896154
30570,6327598.047886957
30571,7127982.1479265215
30572,5053432.646511198
30573,6347301.666270455
30574,6367253.7263989
30575,7248555.24713094
30576,4565789.31357071
30577,4951934.035002219
30578,4095294.407497288
30579,6901445.867753821
30580,5610823.898822116
30581,4965733.577784518
30582,11936232.180309996
30583,6929791.835506198
30584,3998690.739799089
30585,3549184.0989458365
30586,8792022.75258563
30587,5798033.320861798
30588,6128697.105438712
30589,6995842.801629594
30590,11979221.597172108
30591,5382049.331080301
30592,6346690.226532919
30593,9503439.01868777
30594,8760053.323589679
30595,5608000.432522609
30596,6520669.7537135035
30597,6347301.666270455
30598,9499680.564814266
30599,12603332.44933914
30600,5561349.9736908935
30601,6091953.899124583
30602,2868518.8165333704
30603,12695312.04517488
30604,4515610.761988788
30605,6546341.3259328045
30606,19997016.503418777
30607,6942143.370410686
30608,8654452.666850029
30609,5846337.9412430795
30610,3088929.3018544973
30611,5436288.27734291
30612,7045597.040875703
30613,8033452.220464019
30614,18896221.479414232
30615,6907045.628919425
30616,5436288.27734291
30617,8020652.519932961
30618,4584480.667725497
30619,4418373.098211485
30620,3312631.151542396
30621,8524680.322572168
30622,9348203.778820349
30623,6565769.059737341
30624,6535057.683353107
30625,7332872.247293616
30626,6832440.32761987
30627,7954163.516706549
30628,6347301.666270455
30629,5045251.108893594
30630,4599243.878388578
30631,6135828.668132931
30632,4205886.246698836
30633,5554934.106434653
30634,11260197.881621892
30635,9345298.898615792
30636,5349756.24665265
30637,9345298.898615792
30638,5661050.559034561
30639,7716384.802667454
30640,4689749.39104533
30641,8073264.9726368245
30642,5955800.497079651
30643,7469065.808408712
30644,9499680.564814266
30645,7219677.019135246
30646,5005711.077250903
30647,4481563.480453481
30648,24571042.712676857
30649,3317746.4704612615
30650,4809858.288312687
30651,4095294.407497288
