id,price_doc
30474,4621334.755646299
30475,8036084.594867247
30476,6278957.843801019
30477,6409874.896835871
30478,6887120.399933313
30479,9854653.331756424
30480,5996007.773832502
30481,4967646.158034789
30482,5558565.103800028
30483,4747253.238703154
30484,8285915.619884384
30485,6275320.048248664
30486,5307507.922686028
30487,3756456.6364411535
30488,6017702.67582314
30489,7069549.864644167
30490,12608358.930251628
30491,10832013.587812165
30492,5164623.042285589
30493,10080370.719550794
30494,6984510.632582973
30495,10487622.64827171
30496,6944744.571242163
30497,8294903.843560879
30498,6581971.8829052895
30499,7529785.022190796
30500,9047738.906055707
30501,7187491.379549866
30502,3890166.6295354874
30503,8523880.098408598
30504,7051384.026804606
30505,8857534.521927014
30506,2486069.0556433415
30507,5633164.08582387
30508,5763390.937313596
30509,6327171.8711450435
30510,9392394.226203335
30511,7178268.829663875
30512,7187571.179826036
30513,6207314.062017367
30514,1547170.4683520556
30515,10125405.171266276
30516,7373440.764325215
30517,10280913.1770477
30518,8353318.804842463
30519,7344931.352854809
30520,7928099.914180438
30521,5798215.378200167
30522,7343887.7047206955
30523,7606519.870847967
30524,7471792.700512098
30525,8538648.246614872
30526,5411745.560323626
30527,5712709.982754052
30528,8780312.361390263
30529,8824749.204093905
30530,5868590.243467817
30531,10211306.829081284
30532,5665696.9625872085
30533,9079957.755720466
30534,7424302.301565358
30535,9506932.020582195
30536,6515996.834935369
30537,9586145.92863698
30538,5150900.487109322
30539,12007067.931944415
30540,10410808.477565452
30541,9491637.388996765
30542,3537804.3426091797
30543,7010625.912789497
30544,7713382.0584481
30545,8316093.093254981
30546,5634726.858093503
30547,8832635.3551458
30548,6075995.369446622
30549,7036511.324353537
30550,9203281.996539194
30551,6270211.094987052
30552,3580935.4427055707
30553,9836766.19852897
30554,9291566.812216625
30555,7351356.895076772
30556,8366071.7013542
30557,8132030.097653516
30558,8449341.938316192
30559,8226511.695391889
30560,7830115.679860349
30561,6788145.835995244
30562,10754814.93420134
30563,9114780.127346631
30564,7959683.561903219
30565,7111765.529432438
30566,7443801.919621964
30567,3543333.970826667
30568,9727690.277571134
30569,8584319.373183882
30570,7976114.671939531
30571,6945703.749758577
30572,5995897.770920846
30573,9401135.610190958
30574,6111857.878427738
30575,7861077.172079769
30576,3945644.4117560745
30577,5034709.59428115
30578,2421372.4054987556
30579,7060562.828617215
30580,6259040.794941676
30581,6079318.213918998
30582,9947380.234093716
30583,7708083.96453774
30584,6233143.871117046
30585,3564119.192885332
30586,7359862.776928142
30587,6762518.052011115
30588,8125633.453815311
30589,7992923.687548263
30590,10084618.8895314
30591,6529551.886945739
30592,6738931.240979689
30593,6764404.2010752205
30594,11267203.676444788
30595,7039522.213115642
30596,4636033.9713375
30597,9306541.722533498
30598,9878634.772212604
30599,8409731.438364457
30600,9353362.10523443
30601,7427846.5606043665
30602,3726992.1179241007
30603,11726307.030505376
30604,6150895.770848763
30605,8846806.146829713
30606,12962636.24330926
30607,7885237.99519627
30608,6806578.121701452
30609,7003792.494063875
30610,3920554.1859918176
30611,5574203.161998675
30612,6881170.967643974
30613,9048035.853913601
30614,11418907.257890608
30615,7641125.056507356
30616,6553319.807878193
30617,8382155.096094784
30618,6739193.1987412125
30619,9082192.566001913
30620,2603297.1738540446
30621,10060446.65457036
30622,8992687.105813097
30623,7342924.394744659
30624,6603372.927719038
30625,7838459.938194642
30626,8935077.517099569
30627,8545026.429825673
30628,8757226.16970644
30629,7733307.448395652
30630,9787406.389423626
30631,6115178.5865172725
30632,3941517.636572021
30633,6775690.789238876
30634,9998903.754230049
30635,10252033.657446707
30636,5255794.1436399985
30637,9971569.771404818
30638,6916372.355415873
30639,8385898.824968414
30640,5705213.003736718
30641,8150201.946811254
30642,6110510.194168541
30643,7996244.032976458
30644,9911259.57869577
30645,5549672.403702659
30646,6220056.168185498
30647,5094640.179035627
30648,14902765.636813495
30649,2820133.0902563957
30650,5997534.047710934
30651,2439620.1786164595
30652,5866752.637964209
30653,7954711.308097059
30654,4026755.893646045
30655,9799260.391742408
30656,5416781.235576049
30657,6530219.926817318
30658,8936435.999521205
30659,5386266.002750263
30660,8690989.756783918
30661,8598725.037082702
30662,7584074.564769638
30663,12579367.054626707
30664,10403789.286564171
30665,7665949.707666097
30666,2636474.943158962
30667,5142013.01342225
30668,8622134.8714141
30669,4524108.635361938
30670,3144205.058066833
30671,8034955.580864902
30672,11617519.59932215
30673,7365188.589859581
30674,10145714.63853782
30675,3537804.3426091797
30676,7915815.43829197
30677,6163106.888536533
30678,11413248.461329795
30679,7329788.622878301
30680,4655994.206886254
30681,3608828.6669190177
30682,7496458.496301232
30683,10644158.788343364
30684,8391847.704028675
30685,7454853.706072116
30686,10296345.173463494
30687,5980479.128841313
30688,5261683.8924622685
30689,10757670.310869247
30690,15146069.278382879
30691,6667310.732461939
30692,8084674.41550543
30693,6655029.707040796
30694,7835468.823947984
30695,7991463.538336118
30696,9004864.430842414
30697,10095060.660577426
30698,7805572.0917528765
30699,7404011.575020587
30700,5884714.998610927
30701,9818877.542325305
