id,price_doc
30474,7182885.858452717
30475,8009248.137163237
30476,6690924.549638698
30477,7197398.046296286
30478,6743474.867256453
30479,11467511.29544945
30480,7045806.867071365
30481,5369361.0165338
30482,7215042.332066819
30483,5255502.510667469
30484,8828690.132929936
30485,6193017.156318953
30486,4656454.198157768
30487,4419732.07313462
30488,4698302.987112382
30489,7053818.069353613
30490,16153333.426542979
30491,12690687.514649527
30492,5712401.190456828
30493,13238340.857950272
30494,6810072.400068954
30495,10617119.101167893
30496,8036125.484681691
30497,9968796.614160309
30498,5421326.602266794
30499,7693788.847729933
30500,11717025.925908575
30501,8921309.000293529
30502,4812933.81133998
30503,10929220.223504176
30504,7864253.627256557
30505,10924167.076935675
30506,141922264.60420996
30507,5757152.758976825
30508,6824882.873321365
30509,8901735.586102184
30510,9807875.779023686
30511,7969799.431020116
30512,7727306.51810375
30513,7235817.407696364
30514,142989310.48541957
30515,10470120.079023685
30516,7478204.0110083865
30517,11841719.165761951
30518,8453842.77727959
30519,6924864.339379331
30520,9386463.616137687
30521,5884631.775941687
30522,7728814.469539786
30523,10345833.869572356
30524,10154335.451100893
30525,20220032.85901002
30526,5541438.960201219
30527,4854624.792868441
30528,7824878.0142370965
30529,8489053.25396055
30530,8012332.426574821
30531,12347378.023223396
30532,5811415.440200852
30533,12419428.840931345
30534,7206803.056318954
30535,9912250.407929936
30536,6562440.775603613
30537,10004560.170989221
30538,8060052.896753523
30539,8474312.54126753
30540,10725703.275898686
30541,9308463.26993258
30542,141228953.85420996
30543,8104730.313510874
30544,6377508.657293878
30545,11345652.816906806
30546,4227572.082849136
30547,10182417.859497061
30548,5967749.68287929
30549,7250956.615385676
30550,8952457.681937318
30551,6562291.6230366025
30552,141200521.60420996
30553,10483776.851889508
30554,10013272.6800609
30555,8246738.94949324
30556,10127578.788027575
30557,7994357.488963324
30558,9149455.060529426
30559,9443572.865491066
30560,10377680.333937224
30561,8547464.686432555
30562,12710373.916415084
30563,5925310.813142529
30564,8324555.742286831
30565,6487915.401840193
30566,7169158.41412929
30567,141225308.75420997
30568,10469422.052276706
30569,8913206.975616511
30570,7606539.670833612
30571,9847774.960576544
30572,6067429.262544969
30573,9833693.324336186
30574,7448039.834337078
30575,13479500.35087851
30576,4590168.704384619
30577,3554440.3173348517
30578,141964913.10420996
30579,8553921.18905948
30580,6941475.61857163
30581,7383103.065255372
30582,12457398.237108815
30583,7462457.984443953
30584,6801349.035996959
30585,3225120.9642676935
30586,8997884.727897998
30587,5468976.514168343
30588,11053702.906842079
30589,7654407.929566203
30590,10347912.826427614
30591,7467883.47543706
30592,8419488.270448193
30593,7873518.422572317
30594,7819564.720955029
30595,6574322.02303895
30596,6155833.103783762
30597,9748475.007929936
30598,10245711.682148686
30599,10765080.382372325
30600,6124391.0037675295
30601,9705800.445917483
30602,141133552.95420998
30603,11889862.501679936
30604,6686239.307017291
30605,9332588.039179936
30606,13413819.068451926
30607,8065954.255030918
30608,7886616.629449895
30609,6785796.38912929
30610,4829911.3528037835
30611,6654446.254571365
30612,7033772.199874026
30613,10385092.49855956
30614,13966110.942195654
30615,8352288.35121831
30616,7535990.240508865
30617,8704255.590829752
30618,6695949.198660126
30619,5897979.0506425295
30620,141844987.10420996
30621,12442845.489915088
30622,14037871.406606495
30623,7541002.527673466
30624,6635190.840200853
30625,8175530.369539785
30626,7415573.693755247
